s,x,y,kappa,n_l,n_r
0.0,0.037,0.221,0.069,0.61,0.655
0.1,0.137,0.232,0.095,0.603,0.641
0.2,0.236,0.245,0.105,0.602,0.634
0.3,0.335,0.259,0.079,0.604,0.632
0.4,0.434,0.274,0.061,0.611,0.634
0.5,0.533,0.289,0.046,0.62,0.638
0.6,0.631,0.305,0.034,0.631,0.644
0.7,0.73,0.321,0.023,0.643,0.65
0.8,0.829,0.337,0.012,0.654,0.657
0.9,0.927,0.354,0.001,0.663,0.663
1.0,1.026,0.37,-0.009,0.671,0.668
1.1,1.125,0.386,-0.018,0.678,0.672
1.2,1.223,0.403,-0.025,0.683,0.677
1.3,1.322,0.418,-0.03,0.687,0.681
1.4,1.421,0.434,-0.033,0.689,0.682
1.5,1.52,0.449,-0.034,0.69,0.681
1.6,1.618,0.464,-0.034,0.688,0.678
1.7,1.717,0.479,-0.033,0.685,0.673
1.8,1.816,0.493,-0.031,0.68,0.667
1.9,1.915,0.507,-0.028,0.675,0.661
2.0,2.014,0.521,-0.025,0.67,0.655
2.1,2.114,0.534,-0.023,0.664,0.648
2.2,2.213,0.548,-0.019,0.658,0.643
2.3,2.312,0.561,-0.016,0.652,0.638
2.4,2.411,0.573,-0.012,0.646,0.635
2.5,2.51,0.586,-0.008,0.641,0.633
2.6,2.609,0.599,-0.004,0.636,0.633
2.7,2.709,0.611,0.0,0.633,0.633
2.8,2.808,0.624,0.005,0.631,0.634
2.9,2.907,0.637,0.01,0.631,0.635
3.0,3.006,0.65,0.016,0.631,0.636
3.1,3.105,0.662,0.021,0.63,0.638
3.2,3.204,0.676,0.028,0.629,0.641
3.3,3.303,0.689,0.034,0.626,0.643
3.4,3.403,0.703,0.042,0.623,0.644
3.5,3.502,0.717,0.05,0.621,0.645
3.6,3.6,0.732,0.06,0.618,0.645
3.7,3.699,0.747,0.071,0.614,0.645
3.8,3.798,0.763,0.084,0.609,0.643
3.9,3.897,0.78,0.098,0.604,0.642
4.0,3.995,0.797,0.115,0.598,0.641
4.1,4.093,0.816,0.135,0.591,0.641
4.2,4.191,0.836,0.157,0.583,0.644
4.3,4.289,0.858,0.182,0.576,0.651
4.4,4.386,0.882,0.21,0.568,0.661
4.5,4.483,0.907,0.242,0.559,0.675
4.6,4.579,0.935,0.276,0.55,0.691
4.7,4.674,0.965,0.313,0.541,0.71
4.8,4.768,0.999,0.351,0.533,0.73
4.9,4.861,1.035,0.391,0.526,0.751
5.0,4.953,1.076,0.431,0.52,0.77
5.1,5.042,1.12,0.469,0.517,0.788
5.2,5.13,1.168,0.504,0.516,0.804
5.3,5.215,1.221,0.533,0.518,0.819
5.4,5.297,1.278,0.556,0.522,0.833
5.5,5.376,1.34,0.57,0.529,0.844
5.6,5.451,1.406,0.575,0.538,0.853
5.7,5.522,1.476,0.571,0.549,0.858
5.8,5.589,1.55,0.559,0.563,0.858
5.9,5.652,1.628,0.541,0.577,0.856
6.0,5.71,1.71,0.519,0.592,0.852
6.1,5.764,1.794,0.493,0.605,0.847
6.2,5.814,1.88,0.467,0.615,0.84
6.3,5.86,1.969,0.442,0.623,0.834
6.4,5.901,2.06,0.418,0.629,0.827
6.5,5.939,2.152,0.398,0.633,0.822
6.6,5.974,2.246,0.381,0.635,0.818
6.7,6.005,2.342,0.368,0.636,0.816
6.8,6.032,2.438,0.36,0.636,0.814
6.9,6.055,2.535,0.357,0.636,0.812
7.0,6.076,2.633,0.359,0.635,0.807
7.1,6.092,2.731,0.367,0.633,0.801
7.2,6.106,2.831,0.381,0.63,0.794
7.3,6.115,2.93,0.401,0.626,0.786
7.4,6.12,3.03,0.427,0.621,0.778
7.5,6.121,3.13,0.457,0.612,0.77
7.6,6.118,3.23,0.492,0.599,0.763
7.7,6.11,3.33,0.527,0.583,0.757
7.8,6.096,3.429,0.562,0.563,0.752
7.9,6.077,3.527,0.594,0.542,0.748
8.0,6.052,3.624,0.62,0.522,0.743
8.1,6.021,3.719,0.64,0.503,0.736
8.2,5.984,3.812,0.655,0.488,0.725
8.3,5.941,3.902,0.664,0.477,0.714
8.4,5.892,3.989,0.672,0.468,0.704
8.5,5.837,4.073,0.68,0.462,0.698
8.6,5.777,4.153,0.691,0.459,0.697
8.7,5.712,4.228,0.706,0.459,0.701
8.8,5.641,4.299,0.726,0.462,0.711
8.9,5.565,4.364,0.749,0.467,0.723
9.0,5.485,4.424,0.775,0.473,0.737
9.1,5.4,4.477,0.801,0.479,0.75
9.2,5.312,4.523,0.824,0.485,0.761
9.3,5.219,4.562,0.841,0.491,0.771
9.4,5.124,4.593,0.85,0.498,0.783
9.5,5.027,4.615,0.85,0.506,0.801
9.6,4.928,4.63,0.842,0.516,0.822
9.7,4.828,4.635,0.829,0.526,0.842
9.8,4.728,4.633,0.812,0.535,0.853
9.9,4.629,4.622,0.794,0.543,0.853
10.0,4.531,4.604,0.776,0.55,0.841
10.1,4.434,4.578,0.757,0.554,0.819
10.2,4.34,4.545,0.736,0.557,0.793
10.3,4.248,4.505,0.706,0.559,0.763
10.4,4.16,4.458,0.662,0.559,0.73
10.5,4.074,4.406,0.599,0.557,0.695
10.6,3.992,4.349,0.515,0.553,0.66
10.7,3.914,4.287,0.414,0.546,0.626
10.8,3.837,4.223,0.303,0.538,0.594
10.9,3.763,4.156,0.187,0.531,0.567
11.0,3.69,4.087,0.067,0.526,0.542
11.1,3.618,4.018,-0.067,0.526,0.522
11.2,3.545,3.95,-0.225,0.532,0.507
11.3,3.47,3.883,-0.414,0.545,0.498
11.4,3.393,3.819,-0.617,0.564,0.495
11.5,3.313,3.76,-0.793,0.591,0.495
11.6,3.227,3.708,-0.897,0.623,0.498
11.7,3.137,3.664,-0.914,0.656,0.5
11.8,3.044,3.629,-0.868,0.685,0.502
11.9,2.948,3.602,-0.794,0.708,0.501
12.0,2.85,3.582,-0.719,0.724,0.497
12.1,2.75,3.57,-0.653,0.735,0.49
12.2,2.651,3.564,-0.597,0.741,0.48
12.3,2.551,3.564,-0.548,0.743,0.471
12.4,2.451,3.569,-0.504,0.739,0.464
12.5,2.351,3.58,-0.462,0.727,0.46
12.6,2.253,3.595,-0.422,0.709,0.458
12.7,2.154,3.614,-0.382,0.687,0.457
12.8,2.057,3.637,-0.341,0.663,0.456
12.9,1.961,3.663,-0.301,0.64,0.456
13.0,1.865,3.693,-0.26,0.62,0.458
13.1,1.77,3.724,-0.22,0.603,0.461
13.2,1.676,3.758,-0.179,0.588,0.465
13.3,1.582,3.793,-0.139,0.575,0.471
13.4,1.489,3.83,-0.1,0.561,0.479
13.5,1.397,3.868,-0.061,0.547,0.489
13.6,1.304,3.906,-0.023,0.533,0.502
13.7,1.212,3.944,0.014,0.519,0.518
13.8,1.12,3.983,0.05,0.507,0.536
13.9,1.027,4.02,0.085,0.496,0.556
14.0,0.934,4.057,0.119,0.487,0.576
14.1,0.841,4.093,0.15,0.481,0.596
14.2,0.747,4.128,0.179,0.478,0.616
14.3,0.652,4.16,0.206,0.477,0.636
14.4,0.557,4.191,0.23,0.475,0.655
14.5,0.461,4.22,0.25,0.472,0.674
14.6,0.365,4.246,0.267,0.466,0.692
14.7,0.268,4.27,0.281,0.458,0.709
14.8,0.17,4.291,0.292,0.448,0.724
14.9,0.072,4.309,0.301,0.438,0.738
15.0,-0.027,4.324,0.308,0.429,0.751
15.1,-0.126,4.336,0.315,0.422,0.761
15.2,-0.226,4.344,0.323,0.416,0.767
15.3,-0.326,4.35,0.334,0.412,0.764
15.4,-0.426,4.352,0.348,0.41,0.752
15.5,-0.526,4.351,0.368,0.412,0.732
15.6,-0.626,4.346,0.396,0.419,0.709
15.7,-0.725,4.337,0.435,0.431,0.686
15.8,-0.825,4.324,0.488,0.448,0.669
15.9,-0.923,4.307,0.559,0.471,0.664
16.0,-1.02,4.283,0.655,0.498,0.676
16.1,-1.116,4.254,0.783,0.525,0.709
16.2,-1.209,4.217,0.953,0.55,0.765
16.3,-1.298,4.172,1.168,0.57,0.836
16.4,-1.381,4.116,1.419,0.584,0.908
16.5,-1.456,4.05,1.656,0.593,0.956
16.6,-1.518,3.972,1.782,0.596,0.961
16.7,-1.565,3.884,1.696,0.596,0.918
16.8,-1.596,3.789,1.396,0.594,0.847
16.9,-1.613,3.69,0.997,0.59,0.771
17.0,-1.62,3.59,0.637,0.585,0.709
17.1,-1.622,3.491,0.386,0.58,0.667
17.2,-1.619,3.391,0.236,0.575,0.642
17.3,-1.615,3.291,0.156,0.57,0.629
17.4,-1.609,3.191,0.114,0.568,0.624
17.5,-1.602,3.091,0.09,0.568,0.622
17.6,-1.594,2.991,0.077,0.57,0.619
17.7,-1.585,2.892,0.068,0.575,0.616
17.8,-1.576,2.792,0.064,0.582,0.612
17.9,-1.566,2.693,0.062,0.589,0.612
18.0,-1.556,2.593,0.062,0.598,0.62
18.1,-1.544,2.494,0.064,0.606,0.636
18.2,-1.533,2.395,0.067,0.613,0.658
18.3,-1.52,2.295,0.07,0.62,0.68
18.4,-1.507,2.196,0.073,0.628,0.697
18.5,-1.493,2.097,0.074,0.635,0.707
18.6,-1.478,1.998,0.073,0.643,0.71
18.7,-1.463,1.899,0.071,0.65,0.706
18.8,-1.447,1.801,0.068,0.655,0.697
18.9,-1.43,1.702,0.065,0.657,0.685
19.0,-1.413,1.604,0.065,0.657,0.674
19.1,-1.395,1.505,0.071,0.656,0.666
19.2,-1.376,1.407,0.088,0.654,0.664
19.3,-1.357,1.309,0.123,0.654,0.669
19.4,-1.336,1.211,0.182,0.657,0.68
19.5,-1.314,1.114,0.268,0.662,0.699
19.6,-1.289,1.017,0.378,0.669,0.724
19.7,-1.26,0.921,0.503,0.678,0.754
19.8,-1.227,0.827,0.637,0.688,0.792
19.9,-1.188,0.735,0.774,0.697,0.841
20.0,-1.142,0.646,0.909,0.705,0.906
20.1,-1.088,0.562,1.036,0.711,0.986
20.2,-1.025,0.484,1.146,0.716,1.067
20.3,-0.954,0.414,1.222,0.718,1.124
20.4,-0.875,0.353,1.25,0.718,1.137
20.5,-0.789,0.302,1.219,0.716,1.1
20.6,-0.697,0.263,1.132,0.711,1.028
20.7,-0.601,0.234,1.002,0.703,0.944
20.8,-0.503,0.215,0.85,0.691,0.865
20.9,-0.404,0.204,0.692,0.674,0.799
21.0,-0.304,0.2,0.543,0.656,0.747
21.1,-0.204,0.202,0.338,0.638,0.707
21.2,-0.104,0.208,0.203,0.622,0.677
